ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
50362,Fabian Delph,3.5,31,174,England,left,GB1
50512,Anthony Modeste,1.5,33,187,France,right,L1
50617,Stefan Strandberg,0.8,31,189,Norway,right,IT1
51100,Peter Pekarik,0.8,34,177,Slovakia,right,L1
51174,Fernando Reges,4.0,34,183,Brazil,right,ES1
51321,Darren Randolph,1.5,34,187,Ireland,right,GB1
51471,Mateo Kovacic,45.0,27,177,Croatia,right,GB1
51510,Ángel Rodríguez,3.0,34,171,Spain,right,ES1
51676,Ermin Bicakcic,1.5,31,185,Bosnia-Herzegovina,right,L1
51710,Sergio Asenjo,9.0,32,189,Spain,right,ES1
51977,Pavao Pervan,0.6,33,194,Austria,both,L1
52348,Benjamin Hübner,1.3,32,193,Germany,left,L1
52570,Fraser Forster,3.0,33,201,England,right,GB1
52769,Willian,9.0,33,175,Brazil,right,GB1
52920,Marcelo,3.0,34,191,Brazil,right,FR1
53360,Jay Rodríguez,4.0,32,185,England,right,GB1
53418,Kevin Kampl,10.0,30,178,Slovenia,right,L1
53536,Tolgay Arslan,3.0,31,180,Germany,both,IT1
53622,Ilkay Gündogan,40.0,30,180,Germany,right,GB1
54235,Iker Muniain,12.0,28,169,Spain,right,ES1
54581,Ilija Nestorovski,1.3,31,182,North Macedonia,left,IT1
54906,Matteo Darmian,7.0,31,183,Italy,right,IT1
54928,Diego Godín,2.0,35,187,Uruguay,right,IT1
55000,Vincenzo Fiorillo,0.3,31,190,Italy,left,IT1
55089,Oliver Baumann,5.0,31,187,Germany,right,L1
55099,Nicolas Höfler,2.5,31,181,Germany,right,L1
55215,Javier Pastore,1.5,32,187,Argentina,right,IT1
55282,Ciprian Tatarusanu,0.6,35,198,Romania,right,IT1
55735,Henrikh Mkhitaryan,15.0,32,177,Armenia,both,IT1
55854,Cristian Ansaldi,2.0,34,181,Argentina,both,IT1
56067,Pablo Piatti,1.2,32,163,Argentina,both,ES1
56416,Dries Mertens,9.0,34,169,Belgium,right,IT1
56794,Fabien Lemoine,0.8,34,175,France,right,FR1
56809,Alexandre Oukidja,2.5,33,184,Algeria,right,FR1
56810,Adrien Silva,3.0,32,175,Portugal,right,IT1
56818,Morgan Schneiderlin,7.0,31,186,France,right,FR1
56830,Sebastien De Maio,0.7,34,190,France,right,IT1
57051,Sebastian Rudy,3.0,31,180,Germany,right,L1
57071,Péter Gulácsi,13.0,31,190,Hungary,right,L1
57134,Matthieu Dreyer,0.6,32,188,France,right,FR1
57216,Ismaël Traoré,1.0,35,184,Cote d'Ivoire,right,FR1
57280,Giacomo Bonaventura,4.0,31,180,Italy,right,IT1
57370,Damien Da Silva,2.0,33,184,France,right,FR1
57467,Romain Thomas,1.8,33,193,France,right,FR1
57500,César Azpilicueta,13.0,31,178,Spain,right,GB1
57633,Ramzi Aya,0.3,31,184,Italy,right,IT1
57825,Jorge Molina,1.5,39,188,Spain,right,ES1
57845,Tobias Strobl,2.0,31,188,Germany,right,L1
57995,Daniel Didavi,1.8,31,180,Germany,left,L1
58295,Petar Skuletic,0.7,31,193,Serbia,left,FR1
58330,Víctor Díaz,1.0,33,183,Spain,right,ES1
58358,Thomas Müller,30.0,31,185,Germany,right,L1
58799,Salva Sevilla,0.3,37,178,Spain,right,ES1
58864,Pierre-Emerick Aubameyang,25.0,32,187,Gabon,right,GB1
58884,Nacho Fernández,10.0,31,180,Spain,right,ES1
59016,David Alaba,55.0,29,180,Austria,left,ES1
59027,Roman Bürki,4.0,30,187,Switzerland,right,L1
59238,Marwin Hitz,1.7,33,194,Switzerland,right,L1
59340,Iago Falque,1.5,31,174,Spain,left,IT1
59344,Asier Illarramendi,6.0,31,179,Spain,right,ES1
59377,David de Gea,18.0,30,189,Spain,right,GB1
59551,Ángel Montoro,1.2,33,180,Spain,right,ES1
59561,Dani Parejo,10.0,32,182,Spain,right,ES1
59606,Craig Cathcart,1.5,32,189,Northern Ireland,right,GB1
60394,Philipp Klement,1.2,28,175,Germany,left,L1
60410,Marcos Acuña,15.0,29,172,Argentina,left,ES1
60444,Thiago,30.0,30,174,Spain,right,GB1
60542,Maxime Gonalons,2.5,32,187,France,right,ES1
60561,Anthony Lopes,14.0,30,184,Portugal,left,FR1
60583,Jérémy Pied,1.2,32,173,France,right,FR1
60889,Gary Medel,1.0,34,171,Chile,right,IT1
